time,direction,payloadlength,protocol
1373902408.279699,client_to_server,32,IP/UDP
1373902408.283685,server_to_client,48,IP/UDP
1373902408.284399,client_to_thirdparty,0,IP/TCP
1373902408.286417,thirdparty_to_client,0,IP/TCP
1373902408.286550,client_to_thirdparty,0,IP/TCP
1373902408.287903,client_to_thirdparty,225,IP/TCP
1373902408.288277,thirdparty_to_client,0,IP/TCP
1373902408.290489,thirdparty_to_client,1460,IP/TCP
1373902408.290514,thirdparty_to_client,1460,IP/TCP
1373902408.291185,client_to_thirdparty,0,IP/TCP
1373902408.291865,client_to_thirdparty,0,IP/TCP
1373902408.292883,thirdparty_to_client,1460,IP/TCP
1373902408.292903,thirdparty_to_client,657,IP/TCP
1373902408.293020,client_to_thirdparty,0,IP/TCP
1373902408.293174,client_to_thirdparty,0,IP/TCP
1373902408.341200,client_to_thirdparty,326,IP/TCP
1373902408.341527,thirdparty_to_client,0,IP/TCP
1373902408.348738,thirdparty_to_client,59,IP/TCP
1373902408.348851,client_to_thirdparty,0,IP/TCP
1373902411.586889,client_to_thirdparty,90,IP/TCP
1373902411.587769,thirdparty_to_client,0,IP/TCP
1373902411.747023,client_to_thirdparty,74,IP/TCP
1373902411.747551,thirdparty_to_client,0,IP/TCP
1373902411.754033,thirdparty_to_client,607,IP/TCP
1373902411.754534,client_to_thirdparty,37,IP/TCP
1373902411.754740,client_to_thirdparty,0,IP/TCP
1373902411.754890,thirdparty_to_client,0,IP/TCP
1373902411.754983,thirdparty_to_client,0,IP/TCP
